Result Time,Granularity Period,Object Name,Reliability,"Average CQI","DL 16 QAM","DL 64QAM (%)","DL PRB Usage Rate (%)","DL QPSK (%)","L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.E-RAB.AttEst","L.E-RAB.SuccEst","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.Traffic.DL.SCH.16QAM.TB","L.Traffic.DL.SCH.16QAM.TB.Retrans","L.Traffic.DL.SCH.64QAM.TB","L.Traffic.DL.SCH.64QAM.TB.Retrans","L.Traffic.DL.SCH.QPSK.TB","L.Traffic.DL.SCH.QPSK.TB.Retrans","L.Traffic.UL.SCH.16QAM.TB","L.Traffic.UL.SCH.16QAM.TB.Retrans","L.Traffic.UL.SCH.64QAM.TB","L.Traffic.UL.SCH.64QAM.TB.Retrans","L.Traffic.UL.SCH.QPSK.TB","L.Traffic.UL.SCH.QPSK.TB.Retrans","Rach Success","Rach Success Rate (%)","RACH Request","UL PRB Usage Rate (%)"
,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None
2021-11-16 16:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=0, Cell Name=MIRP3001-0, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.797,28.87,32.718,93.538,38.413,92446737,70052171,1431326,0,2169,2169,78,78,158,158,2546330,404355,2977922,366079,3328999,597040,5261333,189603,0,0,7220747,610851,2615,100,2615,58.54
2021-11-16 16:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=1, Cell Name=MIRP3001-1, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.227,32.614,31.626,44.288,35.759,66204076,8864048,332376,0,577,577,70,70,58,58,766090,93079,731613,101523,832742,109271,2450784,51305,0,0,6235120,359017,858,100,858,38.482
2021-11-16 16:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=2, Cell Name=MIRP3001-2, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,8.838,36.84,20.248,63.738,42.912,87730322,21176926,1419653,0,892,892,202,201,133,133,1303240,158274,705424,97828,1484704,217694,2966998,85949,0,0,8021996,790173,1847,100,1847,44.648
2021-11-16 16:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=4, Cell Name=MIRP3001-4, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.741,38.048,33.201,99.844,28.751,111051819,63978714,284587,0,4564,4559,344,343,70,70,4037131,495271,3517355,437739,3051937,372978,3023784,211835,0,0,7373298,1189034,5953,100,5953,57.074
2021-11-16 16:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=0, Cell Name=MIRP3002-0, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,10.158,31.515,47.157,94.334,21.328,82390201,81479908,1559473,0,3678,3677,337,285,112,112,3612256,430627,5446725,602718,2396411,339657,2920404,240019,0,0,5377293,1309641,9551,98.933,9654,59.756
2021-11-16 16:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=1, Cell Name=MIRP3002-1, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.224,39.329,32.311,50.452,28.361,71502178,14371111,606671,0,720,720,274,247,162,162,1050957,116491,862179,96953,747466,94403,3976131,112924,0,0,6885179,544271,1488,100,1488,48.062
2021-11-16 16:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=2, Cell Name=MIRP3002-2, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.856,33.67,34.197,97.72,32.132,113866227,56875296,756195,0,3049,3045,330,305,65,65,3466077,446770,3602961,371135,3154912,579223,2162567,182861,0,0,14328243,4529907,4992,100,4992,71.678
2021-11-16 16:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=4, Cell Name=MIRP3002-4, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,8.959,38.166,32.896,96.128,28.938,83598028,84431717,610939,0,1667,1667,168,135,240,240,3741045,402443,3212990,358436,2842310,299350,5638198,198898,0,0,8129440,961326,2254,99.911,2256,73.35
2021-11-16 16:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=5, Cell Name=MIRP3002-5, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.121,46.398,23.26,94.43,30.342,138239545,25618571,1716242,0,1698,1695,578,526,56,56,3125927,334711,1559753,175156,2011050,252076,3313580,166562,0,0,13041340,1498894,3909,100,3909,78.642
2021-11-16 16:00,60,"MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765/Cell:eNodeB Function Name=MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765, Local Cell ID=0, Cell Name=MIRP3003-0, eNodeB ID=43003, Cell FDD TDD indication=CELL_FDD",Reliable,9.914,27.967,50.154,88.128,21.879,115916525,37759026,794662,0,1521,1521,186,186,89,89,1880093,230763,3384032,401428,1475960,175380,2917515,138384,0,0,6367485,447234,2320,100,2320,45.262
2021-11-16 16:00,60,"MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765/Cell:eNodeB Function Name=MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765, Local Cell ID=1, Cell Name=MIRP3003-1, eNodeB ID=43003, Cell FDD TDD indication=CELL_FDD",Reliable,9.888,45.876,38.959,73.81,15.166,67183834,58647756,2841423,0,2298,2298,518,518,80,79,3547972,465488,3039709,368601,1183236,143557,3363396,218408,0,0,7139150,874142,2983,100,2983,63.616
2021-11-16 16:00,60,"MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765/Cell:eNodeB Function Name=MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765, Local Cell ID=2, Cell Name=MIRP3003-2, eNodeB ID=43003, Cell FDD TDD indication=CELL_FDD",Reliable,9.613,40.606,44.279,96.68,15.115,100075745,68796435,974834,0,2398,2398,365,365,58,58,4052785,475748,4410071,528112,1501961,183677,3030884,225561,0,0,5198609,520668,3614,100,3614,55.614
2021-11-16 16:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=0, Cell Name=MIRP3004-0, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,9.615,38.28,39.136,96.354,22.584,117735314,50320869,1134368,0,1656,1655,135,133,116,116,3131754,359759,3188642,380947,1812990,246855,9070369,335832,0,0,8879397,1439984,2168,100,2168,61.91
2021-11-16 16:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=1, Cell Name=MIRP3004-1, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,9.422,39.818,37.708,99.76,22.474,126189494,48559076,573438,0,2381,2380,223,223,74,74,3163236,372423,2979962,368330,1712070,283464,7788042,408141,0,0,8930396,1004241,2967,100,2967,60.794
2021-11-16 16:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=2, Cell Name=MIRP3004-2, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,9.398,39.181,30.852,64.314,29.967,70557032,40385396,574782,0,2187,2187,144,144,19,19,2108820,268684,1660567,211537,1582755,235609,7626580,245318,0,0,11649726,1912766,2652,100,2652,57.484
2021-11-16 16:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=4, Cell Name=MIRP3004-4, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,8.647,40.343,26.565,29.578,33.092,36922541,10715355,1377483,0,849,849,309,309,83,83,803223,86378,528016,57768,622002,107692,6158186,157625,0,0,6174864,1573242,1591,100,1591,47.204
2021-11-16 16:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=6, Cell Name=MIRP3004-6, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,9.71,35.736,45.862,98.372,18.403,116759097,54492467,1615627,0,1959,1958,48,48,84,84,3597515,385801,4623774,488284,1839872,211413,11377671,376053,0,0,10202931,1336124,2289,100,2289,62.634
2021-11-16 16:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=0, Cell Name=MIRP3006-0, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,9.732,40.006,43.11,99.956,16.885,116441027,55470787,3770986,0,4613,4609,890,872,480,480,3919330,436686,4226418,467569,1590070,248414,2650386,196470,0,0,6928412,1955242,7397,100,7397,54.562
2021-11-16 16:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=1, Cell Name=MIRP3006-1, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,8.896,47.409,27.647,94.068,24.944,117425329,46482772,1177041,0,1465,1462,184,184,242,242,3403970,377438,1975963,229145,1787429,202136,3975270,155492,0,0,6820679,572897,2092,100,2092,55.292
2021-11-16 16:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=2, Cell Name=MIRP3006-2, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,11.136,28.505,57.179,92.13,14.316,93359358,66692065,1533655,0,1726,1725,400,397,286,286,2606080,302286,5240069,593911,1270557,190078,5126157,201222,0,0,12333967,1168056,2789,100,2789,68.932
2021-11-16 16:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=5, Cell Name=MIRP3006-5, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,8.113,59.533,12.792,94.824,27.675,130209730,29731505,6499143,0,894,894,327,327,44,44,3250102,349459,695880,77559,1516121,157215,4465359,108340,0,0,5595651,179041,1351,100,1351,46.982
2021-11-16 16:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=0, Cell Name=MIRP3007-0, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,7.998,50.126,12.293,97.006,37.581,137878629,31886830,446541,0,1673,1672,199,198,260,259,3218376,370976,767348,112891,2250381,440641,3932938,133691,0,0,16455489,4670557,4493,99.978,4494,64.524
2021-11-16 16:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=1, Cell Name=MIRP3007-1, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,9.447,39.605,40.288,97.426,20.106,91581841,78419284,991503,0,3582,3582,43,43,89,89,4224590,491296,4310213,487023,2116298,277817,3061795,260457,0,0,8258955,1035723,5506,100,5506,68.304
2021-11-16 16:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=2, Cell Name=MIRP3007-2, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,8.738,31.934,28.61,21.342,39.455,26181004,7876924,158110,0,433,431,14,12,23,23,349130,43461,312339,39384,450099,34951,1301158,11961,0,0,3159030,230465,836,100,836,22.048
2021-11-16 16:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=5, Cell Name=MIRP3007-5, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,10.487,32.738,54.725,91.722,12.537,83645202,76934499,155860,0,2451,2450,63,57,55,55,3434652,365754,5766276,586626,1323131,132232,4843892,381999,0,0,4288115,486893,2710,100,2710,67.572
2021-11-16 16:00,60,"MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801/Cell:eNodeB Function Name=MIRP3007-Charhoi-TNR-PDG-PDC-FCB-Gld-ACH801, Local Cell ID=6, Cell Name=MIRP3007-6, eNodeB ID=43007, Cell FDD TDD indication=CELL_FDD",Reliable,8.205,34.142,32.102,71.428,33.756,69249883,53729898,1205265,0,720,719,204,204,5,4,1551357,159154,1447781,160563,1538743,152431,3012947,54188,0,0,6501069,266248,1713,100,1713,41.148
2021-11-16 16:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=0, Cell Name=MIRP3008-0, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,9.6,32.253,51.666,95.804,16.081,100525882,67354877,102986,0,4799,4790,46,46,38,38,3117920,353554,5019565,541352,1547142,183756,1361701,83493,0,0,6032163,976067,7990,100,7990,49.246
2021-11-16 16:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=1, Cell Name=MIRP3008-1, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,10.298,30.844,58.783,35.934,10.373,36069814,24183325,9615,0,498,493,0,0,0,0,848969,89002,1599975,187635,292963,22478,1219787,23005,0,0,4963810,527321,25177,100,25177,35.658
2021-11-16 16:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=2, Cell Name=MIRP3008-2, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,10.762,40.859,37.27,59.344,21.872,50380845,51682407,240005,0,2422,2417,42,41,34,34,2410332,290113,2234789,228459,1307902,137645,2151524,59836,0,0,9607569,722813,2585,100,2585,54.746
2021-11-16 16:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=4, Cell Name=MIRP3008-4, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,9.759,48.603,39.873,76.312,11.523,104826180,28178390,33535,0,1560,1559,211,211,5,5,2898143,410959,2411935,302811,692302,92250,2025926,72739,0,0,11157754,1084992,12035,100,12035,55.388
2021-11-16 16:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=6, Cell Name=MIRP3008-6, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,10.732,31.558,54.4,97.22,14.042,78959407,91628620,102499,0,3080,3054,28,27,62,62,3875788,435209,6709668,721700,1715293,202855,4942208,290786,0,0,7403467,1785132,5511,100,5511,63.01
2021-11-16 16:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=0, Cell Name=MIRP3009-0, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,10.868,36.896,45.215,61.848,17.889,49875498,56708629,364593,0,1606,1605,178,171,14,14,2066491,436373,2630595,436648,998150,215367,5203985,88218,0,0,9554437,1010707,2032,100,2032,55.942
2021-11-16 16:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=1, Cell Name=MIRP3009-1, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,8.72,43.359,31.092,97.158,25.549,85844098,84198026,448640,0,2745,2740,93,69,335,332,4134568,466969,2976926,322828,2405078,306375,1685378,108276,0,0,10466932,3055671,5156,99.981,5157,56.148
2021-11-16 16:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=2, Cell Name=MIRP3009-2, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,9.699,34.529,49.324,97.156,16.147,80420685,89669993,427655,0,3795,3794,6,2,212,212,4387526,466296,6034735,898950,2046400,223421,2834598,209747,0,0,11246260,2665372,5456,100,5456,64.552
2021-11-16 16:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=4, Cell Name=MIRP3009-4, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,8.66,30.826,13.906,96.61,55.269,151820535,17314394,371590,0,1303,1301,21,20,312,307,1652880,186363,746727,82982,2944486,353181,3560959,63071,0,0,7556260,894717,1765,100,1765,45.104
2021-11-16 16:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=5, Cell Name=MIRP3009-5, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,8.495,38.152,33.109,97.106,28.739,104494232,65430447,468807,0,2379,2369,1,0,307,307,3194766,343506,2775089,295459,2387705,277576,6134267,129470,0,0,7131157,2075736,4958,100,4958,47.334
2021-11-16 16:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=6, Cell Name=MIRP3009-6, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,9.517,40.184,35.926,96.126,23.89,109398444,58938150,294161,0,2006,2001,15,12,95,94,3443308,350763,3079137,312946,2033233,222390,4076272,123606,0,0,16055446,1826003,2892,100,2892,76.832
2021-11-16 16:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=0, Cell Name=MIRP3010-0, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,10.617,39.659,41.966,83.034,18.376,101848521,42997823,380480,0,1714,1712,34,33,239,238,2823338,295523,2979344,320946,1310393,134742,4607485,114046,0,0,6475269,542694,2230,100,2230,49.168
2021-11-16 16:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=1, Cell Name=MIRP3010-1, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,9.806,52.43,25.064,78.252,22.507,115161016,19833676,1626303,0,1688,1688,328,322,77,77,2925642,340213,1389045,172178,1264225,137723,4441873,176981,0,0,7506243,509175,3034,100,3034,62.926
2021-11-16 16:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=2, Cell Name=MIRP3010-2, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,9.354,38.749,34.953,96.496,26.299,102218076,66579057,619676,0,5688,5678,296,286,172,172,4882146,660407,4430265,569296,3075050,686675,4176138,352239,0,0,21685455,8099819,10704,100,10704,87.126
2021-11-16 16:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=4, Cell Name=MIRP3010-4, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,9.017,42.145,32.024,97.146,25.831,126642104,43215524,766542,0,2389,2384,594,592,202,202,3113213,331105,2353915,263280,1908411,202670,1901467,82655,0,0,9823548,1722450,4164,100,4164,58.252
