Result Time,Granularity Period,Object Name,Reliability,"Average CQI","DL 16 QAM","DL 64QAM (%)","DL PRB Usage Rate (%)","DL QPSK (%)","L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.E-RAB.AttEst","L.E-RAB.SuccEst","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.Traffic.DL.SCH.16QAM.TB","L.Traffic.DL.SCH.16QAM.TB.Retrans","L.Traffic.DL.SCH.64QAM.TB","L.Traffic.DL.SCH.64QAM.TB.Retrans","L.Traffic.DL.SCH.QPSK.TB","L.Traffic.DL.SCH.QPSK.TB.Retrans","L.Traffic.UL.SCH.16QAM.TB","L.Traffic.UL.SCH.16QAM.TB.Retrans","L.Traffic.UL.SCH.64QAM.TB","L.Traffic.UL.SCH.64QAM.TB.Retrans","L.Traffic.UL.SCH.QPSK.TB","L.Traffic.UL.SCH.QPSK.TB.Retrans","Rach Success","Rach Success Rate (%)","RACH Request","UL PRB Usage Rate (%)"
,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None
2021-11-16 17:00,60,"LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014/Cell:eNodeB Function Name=LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014, Local Cell ID=0, Cell Name=LTRP2001-0, eNodeB ID=22001, Cell FDD TDD indication=CELL_FDD",Reliable,10.486,35.454,41.424,47.4,23.122,54761072,25080101,2025638,0,518,518,206,206,9,9,1231786,153314,1437978,180355,820575,82722,4546589,81033,0,0,5403628,366806,1111,100,1111,37.592
2021-11-16 17:00,60,"LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014/Cell:eNodeB Function Name=LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014, Local Cell ID=1, Cell Name=LTRP2001-1, eNodeB ID=22001, Cell FDD TDD indication=CELL_FDD",Reliable,9.966,46.158,32.609,60.09,21.232,72405295,32018715,272231,0,1295,1294,111,111,1,1,3017923,464967,2200913,259619,1418024,184057,3264340,72723,0,0,7888771,429870,1431,100,1431,59.38
2021-11-16 17:00,60,"LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014/Cell:eNodeB Function Name=LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014, Local Cell ID=2, Cell Name=LTRP2001-2, eNodeB ID=22001, Cell FDD TDD indication=CELL_FDD",Reliable,8.957,19.448,10.129,39.478,70.423,64654454,2764496,226311,0,338,338,83,83,14,14,314472,41104,163503,21692,1158044,129539,3216623,33185,0,0,3303499,167990,460,100,460,28.78
2021-11-16 17:00,60,"LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053/Cell:eNodeB Function Name=LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053, Local Cell ID=0, Cell Name=LTRP2002-0, eNodeB ID=22002, Cell FDD TDD indication=CELL_FDD",Unreliable,10.483,36.382,43.161,21.438,20.456,14465484,20448738,210733,0,856,854,53,53,52,52,688041,162283,879325,129432,425449,52655,6013012,71372,0,0,4850981,289031,1151,100,1151,39.83
2021-11-16 17:00,60,"LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053/Cell:eNodeB Function Name=LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053, Local Cell ID=1, Cell Name=LTRP2002-1, eNodeB ID=22002, Cell FDD TDD indication=CELL_FDD",Unreliable,9.461,38.279,29.646,70.358,32.074,96209781,26185489,774466,0,751,749,125,125,14,14,2052903,292045,1634930,181167,1736699,228127,1848826,46942,0,0,6933510,324340,933,100,933,50.008
2021-11-16 17:00,60,"LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053/Cell:eNodeB Function Name=LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053, Local Cell ID=2, Cell Name=LTRP2002-2, eNodeB ID=22002, Cell FDD TDD indication=CELL_FDD",Unreliable,9.861,23.37,67.767,71.118,8.863,66946614,57156441,426910,0,1080,1080,135,135,45,45,1472197,198846,4403223,442300,559002,74719,4215258,86928,0,0,6286303,426019,1480,100,1480,39.538
2021-11-16 17:00,60,"LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF/Cell:eNodeB Function Name=LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF, Local Cell ID=0, Cell Name=LTRP2005-0, eNodeB ID=22005, Cell FDD TDD indication=CELL_FDD",Reliable,10.081,43.286,22.621,36.108,34.092,39814247,20750918,1305169,0,1136,1136,67,67,43,43,1181315,168391,594482,110862,960743,102288,2857652,57025,0,0,6756050,278850,1328,100,1328,38.708
2021-11-16 17:00,60,"LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF/Cell:eNodeB Function Name=LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF, Local Cell ID=1, Cell Name=LTRP2005-1, eNodeB ID=22005, Cell FDD TDD indication=CELL_FDD",Reliable,9.375,34.635,28.892,60.682,36.473,72121734,33851578,130821,0,668,668,77,77,43,43,1510344,248051,1242815,224026,1632590,219091,3785500,76249,0,0,7920855,454688,1003,100,1003,41.382
2021-11-16 17:00,60,"LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF/Cell:eNodeB Function Name=LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF, Local Cell ID=2, Cell Name=LTRP2005-2, eNodeB ID=22005, Cell FDD TDD indication=CELL_FDD",Reliable,10.373,32.943,41.881,31.26,25.176,43970861,8132951,1112983,0,300,300,42,42,11,11,574392,81476,701255,132550,457115,44121,3568366,70348,0,0,3094737,70366,363,100,363,27.796
