,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765/Cell:eNodeB Function Name=MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765, Local Cell ID=1, Cell Name=MIRP3003-1, eNodeB ID=43003, Cell FDD TDD indication=CELL_FDD",Reliable,10.006,38.353,45.352,41.206,16.295,36625100,32744652,752150,0,1967,1967,150,150,61,61,1342210,213655,1625047,214756,596264,64792,1850657,105866,0,0,4147482,261822,2387,100,2387,38.71,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765/Cell:eNodeB Function Name=MIRP3003-Jamia Masjid Mirpur-UFN-UDG-PDC-FCB-UCP-Plt-2765, Local Cell ID=2, Cell Name=MIRP3003-2, eNodeB ID=43003, Cell FDD TDD indication=CELL_FDD",Reliable,9.8,35.004,40.798,93.926,24.198,90073335,73923370,864814,0,2324,2323,384,382,91,91,2892092,344070,3415301,356581,1976498,260666,3366080,117395,0,0,8345102,1154841,14336,99.993,14337,48.902,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=0, Cell Name=MIRP3004-0, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,8.487,37.556,31.151,94.05,31.293,127963324,36666438,445270,0,1679,1677,114,108,51,51,2667298,301436,2213663,248750,2186410,287231,8313691,289493,0,0,8160157,1176959,2210,100,2210,59.966,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=1, Cell Name=MIRP3004-1, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,9.64,38.806,41.325,85.234,19.869,109477134,39035019,694551,0,2295,2293,223,222,163,163,2509118,288151,2633065,345742,1264616,167589,7824231,419655,0,0,8273962,850925,2836,99.965,2837,62.014,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=2, Cell Name=MIRP3004-2, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,9.655,37.232,36.068,42.626,26.7,42788781,26370416,3370838,0,1543,1543,168,168,77,77,1112468,184760,1102096,154588,809284,120981,7762460,272815,0,0,7789268,917324,2124,100,2124,56.526,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=4, Cell Name=MIRP3004-4, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,8.715,51.881,12.333,72.358,35.786,105243468,19290379,1502607,0,796,796,247,247,132,132,1869172,213333,442811,52241,1306171,130293,9015644,211827,0,0,3697262,1040582,2013,100,2013,38.174,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991/Cell:eNodeB Function Name=MIRP3004-Thothal-UFN-UDG-PDC-FCB-UCP-Plt-8991, Local Cell ID=6, Cell Name=MIRP3004-6, eNodeB ID=43004, Cell FDD TDD indication=CELL_FDD",Reliable,10.048,39.569,31.597,81.02,28.834,96477213,44879548,263850,0,2205,2205,43,42,47,47,2540051,272568,2047218,198741,1872535,176992,11279899,356719,0,0,5780602,348297,2357,100,2357,55.524,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=0, Cell Name=MIRP3006-0, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,9.77,36.411,42.126,99.936,21.463,108925480,65150571,1579277,0,3993,3981,1380,1365,454,454,3737021,426345,4349984,466932,2120102,334051,3139263,231220,0,0,10982943,2966261,8345,100,8345,61.446,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=1, Cell Name=MIRP3006-1, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,9.774,42.199,38.779,87.318,19.022,79380736,72091597,1501525,0,1086,1065,120,120,506,506,2893065,326840,2675896,283093,1274264,177202,5987835,179203,0,0,5737912,408099,1779,100,1779,45.554,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld/Cell:eNodeB Function Name=MIRP3006-Mirpur-PVT-PDG-PDC-FCB-Gld, Local Cell ID=2, Cell Name=MIRP3006-2, eNodeB ID=43006, Cell FDD TDD indication=CELL_FDD",Reliable,10.749,28.386,50.226,80.158,21.388,99948138,37016035,3105742,0,1980,1977,445,443,310,307,1859246,216483,3300496,372310,1364423,199567,4698859,163617,0,0,14607978,1862230,3212,100,3212,64.354,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
